8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,,8,0
10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,1.87E-15
-100,5.5,-100,-100,-100,5.9,-54,-98,-3.33333,-100,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,1.87E-15
-39.6667,-11.1111,-100,-58.1111,-6.66667,-100,-51.6667,-100,33.2,-94,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,33.2,10.1,,12.41,7.304861395
-2.66667,-29.7778,-100,-55,-42.1111,11.2,1.7,5.7,-100,-14.5556,,10.1,10.1,10.1,10.1,10.1,11.2,10.1,10.1,33.2,10.1,,12.52,7.274430104
-24.4444,22.6,-100,-58.7778,-35.5556,-100,-100,-58.1111,-78.1111,-24.6667,,10.1,22.6,10.1,10.1,10.1,11.2,10.1,10.1,33.2,10.1,,13.77,7.86257662
-100,-64,-100,-69.5556,-27.4444,-100,-100,-100,-77.7778,9.6,,10.1,22.6,10.1,10.1,10.1,11.2,10.1,10.1,33.2,10.1,,13.77,7.86257662
-8.88889,-100,-100,-37.2222,-100,-100,-100,-100,-100,19.7,,10.1,22.6,10.1,10.1,10.1,11.2,10.1,10.1,33.2,19.7,,14.73,7.950269038
-100,-100,-100,-100,-0.888889,-7.33333,-59.5556,18.1,-9.66667,-71.3333,,10.1,22.6,10.1,10.1,10.1,11.2,10.1,18.1,33.2,19.7,,15.53,7.834262356
-100,-100,18.5,-46.1111,-25.6667,-10.4444,-13.8889,-58.1111,-78.1111,-83.2222,,10.1,22.6,18.5,10.1,10.1,11.2,10.1,18.1,33.2,19.7,,16.37,7.635159898
-23.2222,-6.55556,7.7,-79.3333,-7.66667,-100,17.3,-100,-9.11111,-89.1111,,10.1,22.6,18.5,10.1,10.1,11.2,17.3,18.1,33.2,19.7,,17.09,7.310791111
-99.6667,-17.3333,-99.7778,-1.88889,-17.4444,-100,-78.4444,-93.4444,20.9,-83.1111,,10.1,22.6,18.5,10.1,10.1,11.2,17.3,18.1,33.2,19.7,,17.09,7.310791111
