raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
21.1,-16.8889,29.1,8.7,-4.22222,10.6,-2.33333,0,26.1,-0.444444,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,29.8,31.5,,31.38,4.960403209
-1.22222,16.1,13.4,19.8,-6,15,4.9,25.6,9.4,6.6,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,29.8,31.5,,31.38,4.960403209
-5.33333,-6.44444,34.4,-19.7778,2.4,-13.3333,-3.77778,18.9,30.5,-6.66667,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,30.5,31.5,,31.45,4.9425196
26.2,10.1,26.1,20.5,15.7,11.6,-2.22222,13.6,15.5,16.1,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,30.5,31.5,,31.45,4.9425196
-3.22222,8.2,-4.88889,7.9,0,5.9,28.2,4.6,18.3,15,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,30.5,31.5,,31.45,4.9425196
17.4,12.6,37.7,7.5,6.3,0,-10.2222,16.3,-7.44444,17,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,30.5,31.5,,31.45,4.9425196
24.1,-100,35.6,16.2,16.1,-20.8889,15.5,-9,7.1,6.7,,37.8,24.6,41.3,30.9,25,27.7,33.1,32.1,30.5,31.5,,31.45,4.9425196
23.5,25.5,-8.66667,34.8,19.5,0,-1.44444,20.9,15.4,-4.22222,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
13.7,12.1,-1.55556,-100,0.6,7.2,-4.22222,5.4,-0.888889,7.7,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
-7.44444,-5.33333,27,-6.55556,7.4,4.8,22.6,-4.11111,-0.666667,0,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
13,18.7,-7.44444,11.8,20.4,-0.666667,13.9,-6,18.9,-17,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
18.5,-99.8889,-4.11111,19.1,4.9,18.9,-0.777778,0,28.6,14.6,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
22.4,24.9,14.8,-3.33333,12.2,13.1,0,0,25.1,-2,,37.8,25.5,41.3,34.8,25,27.7,33.1,32.1,30.5,31.5,,31.93,4.91305404
-2.33333,19,15.5,-6.44444,37.9,15.9,3.1,0.6,23.9,5.5,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,30.5,31.5,,33.22,4.608210065
13.6,-0.222222,4.2,-5.44444,8.5,11.1,-17.4444,24.9,-36.6667,5.2,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,30.5,31.5,,33.22,4.608210065
16.5,8.1,25.4,9.4,-4,1.9,12.3,-1.55556,31.9,4.8,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,31.9,31.5,,33.36,4.544271119
23.3,-7.88889,-4.22222,22.4,-3.55556,7.1,20.7,15.3,36.5,23.2,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
-96.2222,1.7,23.9,0,-76.4444,3,18.9,4.8,15.2,21.9,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
-19.7778,16.7,-100,-8.66667,-14.1111,5.1,20.9,9.8,33.3,26.7,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
-11.7778,14,-2,-8,-6.88889,26,17.5,23,-7.66667,17,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
18.3,13.8,13,8.3,-19.8889,7.3,29.8,16.1,-13.4444,17.9,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
4,22.2,14.6,14.7,7.3,-10.5556,-0.111111,21.3,14.1,17.5,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
14,6.8,-4.11111,5.4,-7.55556,19.1,0,0,12.9,17.1,,37.8,25.5,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,33.82,4.605605281
4.6,29.2,8.8,18.5,31.8,16.5,-6.11111,29.6,11.9,-1.33333,,37.8,29.2,41.3,34.8,37.9,27.7,33.1,32.1,36.5,31.5,,34.19,4.035703161
-11.6667,-0.444444,-6.11111,-0.444444,40.4,22.1,22.6,4.4,28.6,6.2,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
-4.11111,7.5,-0.666667,33.1,18.9,14.8,20.3,9.7,-0.666667,14,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
0.3,3.2,16.9,-4.55556,0,8.5,29.2,14.2,-7.77778,8.6,,37.8,29.2,41.3,34.8,40.4,27.7,33.1,32.1,36.5,31.5,,34.44,4.324858379
