raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
5.5,-0.444444,-5.66667,-100,-100,-100,19.1,-100,-14.3333,-84,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-100,-6.11111,-100,11.7,-100,-14.2222,-20.6667,-78.5556,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-100,4.6,5.2,-78.5556,-12.5556,-22.2222,-0.444444,-100,6.1,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-42.6667,-100,-50.6667,-11.4444,-84.3333,-83.8889,-17.8889,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-3,-100,-100,-100,-78.4444,-84.2222,-100,-6.66667,-100,-8.22222,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-99.8889,-100,-100,-100,-100,-19.7778,-58.1111,-100,-26.3333,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-99.6667,-5.11111,-100,-100,-100,-100,-100,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
24.1,-20.1111,-8,-100,-100,-5.33333,-100,-100,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-2.11111,-52.5556,-64.4444,-35.4444,-78.7778,-100,-75.6667,-38,-14,-15.6667,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-54.3333,-36.8889,-100,-100,-100,-96.3333,-53.6667,-26.1111,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,15,-78.7778,-60.7778,-11.8889,-51.6667,-63.1111,-24.6667,-100,-40.5556,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-100,-100,-100,-100,-100,-100,-100,-100,-100,-80.1111,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-39.1111,-100,-100,-33.2222,-2.88889,-100,-77.3333,-71.4444,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-0.888889,-17.6667,-100,-100,2.4,-79,-100,-75.8889,-4.44444,-2.88889,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,22.2,,23.44,11.05814933
-36.7778,-80.5556,-98.2222,-100,-25,-94.7778,-83.7778,-6.77778,-100,36.3,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,36.3,,24.85,11.75918081
-100,-69,-37.6667,-100,-100,-6.88889,-59.3333,-5.88889,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,36.3,,24.85,11.75918081
-100,-20.3333,-100,-37.7778,-29.1111,-100,-100,-100,-38,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,36.3,,24.85,11.75918081
-100,-100,-100,-66.8889,-100,0,-49.5556,-58.1111,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,36.3,,24.85,11.75918081
-100,-100,-100,-100,-100,-3.77778,-59.6667,-100,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,14.6,36.3,,24.85,11.75918081
7.7,-100,-100,-53.5556,-100,-84,-17.7778,-100,28.5,-34,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,28.5,36.3,,26.24,11.22222002
-0.888889,-45.8889,-77,-53.5556,-100,-37.6667,-95,6.7,-100,-18,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,28.5,36.3,,26.24,11.22222002
-42.7778,-100,-100,-62.1111,-100,-53.5556,-100,22.2,34.7,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
0,-17,-31.1111,-81.3333,-85.7778,-100,-100,-78.7778,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-97.7778,-100,-100,-40.8889,-6.66667,-21.1111,-100,-16.5556,-100,-82.1111,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-100,-100,-100,-100,-100,-100,-100,-100,-53.5556,-79,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-35.8889,-39.6667,-100,-26.5556,-100,-100,-75.1111,-100,-100,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-12.6667,-100,-79.1111,-100,-40.8889,-37.5556,-100,-100,-37.5556,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-100,13.5,-45.3333,-59.1111,-99.5556,-100,-19.5556,-18.2222,-53.4444,-100,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-3.33333,-80.6667,-100,-7.88889,-11.2222,-100,-84.1111,0,-100,-35.1111,,28.1,17,32.3,10.1,25.8,10.1,28.6,45.6,34.7,36.3,,26.86,11.52805274
-2.22222,-37.4444,-76.5556,-30,-12.8889,34.3,-31.7778,-100,-100,-80.3333,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-96.7778,-100,-100,-94.3333,-100,-100,-100,-100,17.2,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-1.22222,-100,-58.1111,-100,0.9,-3.88889,-78.4444,-100,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-100,11.6,-100,-61,-100,-59.5556,-100,-99.8889,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-24.4444,-100,-100,-53.6667,-100,-100,-100,-100,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-100,-100,-100,-100,-100,-100,-100,-100,-54.8889,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-83.7778,-100,-100,-100,-100,-10,-13.4444,-100,-59.5556,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-100,-39.6667,-14.6667,-100,22.3,4.3,20.2,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-9.22222,-100,-53.5556,-100,-97.4444,-100,12,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-100,-78.3333,-81.4444,-100,-78.8889,-58.1111,-97.5556,-6.77778,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
23.7,-12.3333,-97.8889,-100,-100,31.6,-2.66667,-15.5556,-53.3333,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-76.3333,-100,-31.3333,-100,-100,-84,-100,-78.4444,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
9.3,-100,-76.6667,-99.8889,-100,11.8,-100,-31.4444,-100,-94.6667,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
16.7,-99.7778,-54.3333,-14.1111,-100,-100,-75.3333,-17.6667,-100,-80,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-40.2222,-100,-93.5556,-18.2222,-100,-100,-42.3333,-100,-88.4444,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-52.2222,-100,-70.7778,-100,-100,-62.5556,-7.44444,-100,-80.1111,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-84.3333,-42.5556,-100,-78.5556,-56.2222,-81.4444,-1,-80.2222,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
0,-100,-53.5556,-83.1111,-18.6667,-100,10.9,-81.5556,-100,-100,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-53.5556,-100,-100,-80.7778,-81.6667,-100,-43.1111,-100,-37.6667,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-100,-100,-100,-100,-100,-100,-100,-100,-80.1111,,28.1,17,32.3,10.1,25.8,34.3,28.6,45.6,34.7,36.3,,29.28,10.06620308
-100,-58,-100,31.2,36.2,-65.1111,-93.2222,-100,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,34.7,36.3,,32.43,7.335764748
14.7,-42.4444,-39.2222,-57.8889,-19,-100,-50.8889,-15.7778,41.4,29.7,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-94,-53.5556,-36.8889,-100,-58.7778,3.4,-36,-100,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-32.5556,-100,-100,-100,-79.1111,-30.8889,-26,-100,-42.5556,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-26.1111,-5.55556,16.6,-100,-13,-100,-93.6667,-100,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-59.3333,-16,-62.2222,-100,-100,-100,-19.8889,-51.1111,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-25.1111,-83.3333,-100,-21,-79.6667,-100,-33.4444,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-100,-51.7778,-54.5556,-76.4444,-100,-88.6667,-100,-76.4444,-55,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-76.4444,-66.2222,-62.8889,-71,14.3,-100,-39,-33.7778,-99.6667,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-83.2222,-100,-62.1111,-100,-22,15.5,-39.6667,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-15.8889,-94.2222,7.4,-100,-100,-100,6.4,-58.1111,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-14.3333,-94.5556,-100,-100,-100,-100,39.4,-100,-12,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-14.8889,-100,-71.2222,-100,-49,-34.3333,-100,-100,-13.2222,-31.3333,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-2.66667,-62.1111,-98,-12.3333,-17,-80.6667,-100,-42.5556,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-77.3333,-58.6667,-88.6667,-100,-100,-57.5556,-21.6667,14.6,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-95.8889,-61.5556,-100,-100,-100,-53.8889,-100,-58.1111,-84,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-7.66667,-38.8889,-100,-77.1111,-100,-100,-100,-78.7778,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-22,-80.2222,-42.5556,-100,29.3,-50.1111,-100,-37.7778,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-31.8889,-36.1111,-100,-100,-80.2222,-100,-100,-100,-100,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
-100,-100,-54.2222,-42.3333,-100,-84,13.3,-69.4444,-100,-23.2222,,28.1,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.3,,33.1,7.853803042
36,-100,-100,-100,-53.7778,-100,-36.3333,-100,-18.5556,36.6,,36,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,33.92,7.701630419
-26.5556,-9.33333,-100,-100,-100,-39.1111,-4.22222,-97.4444,-34,-100,,36,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,33.92,7.701630419
-50.2222,-31.5556,-81.6667,-100,-100,-0.333333,-94.4444,-80,-10.2222,-100,,36,17,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,33.92,7.701630419
