-1.1633e+02,1.1920e+02
-1.2463e+02,9.3331e+01
-7.0684e+01,1.1923e+02
-8.9405e+01,7.9443e+01
-5.1581e+01,7.7335e+01
-5.9246e+01,8.1295e+01
-5.9538e+01,7.8473e+01
-6.2453e+01,6.9398e+01
-5.3640e+01,5.0973e+01
-7.2408e+01,5.9635e+01
-5.6749e+01,6.7091e+01
-5.5940e+01,5.0172e+01
-3.7009e+01,3.2346e+01
-3.1446e+01,3.0340e+01
-4.0191e+01,3.2752e+01
-3.2724e+01,2.7793e+01
-3.3541e+01,2.9025e+01
-4.0509e+01,2.6173e+01
-2.8458e+01,2.7506e+01
-2.3818e+01,3.3049e+01
-2.9513e+01,2.7420e+01
-2.3555e+01,2.2941e+01
-2.1426e+01,3.0881e+01
-2.3663e+01,2.2948e+01
-2.0443e+01,2.0135e+01
-2.4459e+01,1.9839e+01
-2.0307e+01,2.2436e+01
-1.8365e+01,2.3828e+01
-1.8423e+01,1.7643e+01
-1.9103e+01,2.5970e+01
